Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational level - Literate without educational level - Persons,Educational level - Literate without educational level - Males,Educational level - Literate without educational level - Females,Educational level - Below primary - Persons,Educational level - Below primary - Males,Educational level - Below primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Persons,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Males,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females,Educational level - Unclassified - Persons,Educational level - Unclassified - Males,Educational level - Unclassified - Females
C3311,00,00,0000,INDIA,Rural,11,13013528,6844903,6168625,10640797,5881931,4758866,171526,71684,99842,10469271,5810247,4659024,32440,17235,15205,4662401,2573084,2089317,5773647,3219426,2554221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,502,281
C3311,00,00,0000,INDIA,Rural,12,22868526,12137327,10731199,16113942,9270651,6843291,257267,107127,150140,15856675,9163524,6693151,65886,35180,30706,4812128,2745117,2067011,10075594,5847865,4227729,901383,534296,367087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684,1066,618
C3311,00,00,0000,INDIA,Rural,13,14310749,7374738,6936011,10304338,5801729,4502609,109716,39873,69843,10194622,5761856,4432766,36844,18328,18516,1467109,802996,664113,6496899,3713791,2783108,2192852,1226165,966687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918,576,342
C3311,00,00,0000,INDIA,Rural,14,16376444,8584358,7792086,10383694,6089437,4294257,103989,37597,66392,10279705,6051840,4227865,45094,22896,22198,961818,548642,413176,4469001,2676306,1792695,4802805,2803333,1999472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,663,324
C3311,00,00,0000,INDIA,Rural,15,16322708,8920230,7402478,8546419,5269255,3277164,90018,35058,54960,8456401,5234197,3222204,48143,25573,22570,515057,314258,200799,2286777,1458492,828285,4188550,2598035,1590515,1417081,837270,579811,0,0,0,0,0,0,0,0,0,0,0,0,793,569,224
C3311,00,00,0000,INDIA,Rural,16,15480193,8277681,7202512,6903655,4302098,2601557,73393,27723,45670,6830262,4274375,2555887,48222,25070,23152,295336,176915,118421,1133616,719127,414489,2776131,1798028,978103,2576185,1554688,1021497,0,0,0,0,0,0,0,0,0,0,0,0,772,547,225
C3311,00,00,0000,INDIA,Rural,17,9889295,5342038,4547257,4027838,2554445,1473393,37625,14140,23485,3990213,2540305,1449908,27769,14963,12806,121776,73233,48543,394688,252239,142449,1114480,754444,360036,2330989,1445037,885952,0,0,0,0,0,0,0,0,0,0,0,0,511,389,122
C3311,00,00,0000,INDIA,Rural,18,19632050,10731079,8900971,5194024,3557903,1636121,73890,29166,44724,5120134,3528737,1591397,60443,33162,27281,189163,119321,69842,450736,305407,145329,1136723,832084,304639,1743668,1245292,498376,1485429,948696,536733,4271,3212,1059,48699,40832,7867,0,0,0,1002,731,271
C3311,00,00,0000,INDIA,Rural,19,8737577,4477390,4260187,2124268,1422745,701523,30755,10962,19793,2093513,1411783,681730,25255,13011,12244,93586,55541,38045,136359,86773,49586,289422,207773,81649,548655,398836,149819,956730,614603,342127,3039,2241,798,39879,32562,7317,0,0,0,588,443,145
C3311,00,00,0000,INDIA,Rural,20-24,61398904,31127482,30271422,6229997,4451288,1778709,201834,66168,135666,6028163,4385120,1643043,174947,76145,98802,198540,118591,79949,358154,230469,127685,617050,457425,159625,1122799,861784,261015,2344058,1722375,621683,10091,8079,2012,124039,104770,19269,1075813,803393,272420,2672,2089,583
C3311,00,00,0000,INDIA,Rural,25-29,57685140,28377173,29307967,972633,626970,345663,148620,44446,104174,824013,582524,241489,163009,57859,105150,35576,12937,22639,9875,5271,4604,6988,4617,2371,61540,47004,14536,172503,138605,33898,1648,1403,245,15601,13641,1960,356490,300615,55875,783,572,211
C3311,00,00,0000,INDIA,Rural,30-34,51828879,25688779,26140100,496277,238884,257393,148231,46435,101796,348046,192449,155597,160684,57822,102862,32943,12541,20402,7191,3838,3353,4155,2684,1471,22254,16727,5527,39263,30579,8684,459,376,83,4090,3357,733,76640,64318,12322,367,207,160
C3311,00,00,0000,INDIA,Rural,35-59,166227384,85711181,80516203,791385,391452,399933,277518,94929,182589,513867,296523,217344,272985,121171,151814,55689,26186,29503,17867,11077,6790,9216,6757,2459,38074,30991,7083,40362,32456,7906,672,526,146,5071,3903,1168,73268,63077,10191,663,379,284
C3311,00,00,0000,INDIA,Rural,60+,57444714,28359605,29085109,96520,57912,38608,38174,15446,22728,58346,42466,15880,22708,14734,7974,6846,4514,2332,3325,2576,749,1294,1068,226,6550,5484,1066,7810,5967,1843,126,106,20,524,435,89,9091,7531,1560,72,51,21
C3311,00,00,0000,INDIA,Rural,Age not stated,1896818,1035395,861423,17674,11168,6506,2390,927,1463,15284,10241,5043,3008,1532,1476,1079,574,505,409,275,134,208,139,69,2310,1650,660,4013,2884,1129,36,26,10,220,181,39,3907,2904,1003,94,76,18
C3311,00,00,0000,INDIA,Urban,All ages,286119689,150554098,135565591,73119240,39768604,33350636,7758437,4019368,3739069,65360803,35749236,29611567,281415,168006,113409,21715382,11707607,10007775,16392900,8784660,7608240,10058230,5432882,4625348,7851459,4299041,3552418,5988393,3362522,2625871,39602,28527,11075,319024,247535,71489,2701802,1709730,992072,12596,8726,3870
C3311,00,00,0000,INDIA,Urban,0-4,25338754,13262414,12076340,1340744,710647,630097,1340744,710647,630097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,00,0000,INDIA,Urban,5,6189990,3293903,2896087,1934260,1040179,894081,1934260,1040179,894081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,00,0000,INDIA,Urban,6,5820373,3035238,2785135,3006957,1582353,1424604,3006957,1582353,1424604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,00,0000,INDIA,Urban,7,5684527,2960071,2724456,4657626,2452990,2204636,520780,267235,253545,4136846,2185755,1951091,17042,9394,7648,4118930,2175869,1943061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,492,382
C3311,00,00,0000,INDIA,Urban,8,7049350,3698952,3350398,5920510,3145869,2774641,305867,151980,153887,5614643,2993889,2620754,17224,9419,7805,5596703,2984056,2612647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,414,302
C3311,00,00,0000,INDIA,Urban,9,5116305,2651971,2464334,4555626,2381722,2173904,130068,61343,68725,4425558,2320379,2105179,10503,5878,4625,3961794,2090121,1871673,452896,224139,228757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,241,124
C3311,00,00,0000,INDIA,Urban,10,8042303,4280284,3762019,6841908,3683240,3158668,136198,62823,73375,6705710,3620417,3085293,18262,10581,7681,4340825,2385325,1955500,2345934,1224051,1121883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,460,229
C3311,00,00,0000,INDIA,Urban,11,5065421,2660354,2405067,4536608,2402584,2134024,54654,22973,31681,4481954,2379611,2102343,10596,6327,4269,1472555,818586,653969,2998436,1554415,1444021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,283,84
C3311,00,00,0000,INDIA,Urban,12,7558903,4016492,3542411,6303523,3389273,2914250,68251,27470,40781,6235272,3361803,2873469,15890,9596,6294,1146498,648853,497645,4443535,2385333,2058202,628747,317588,311159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,433,169
C3311,00,00,0000,INDIA,Urban,13,5586302,2844626,2741676,4701078,2430024,2271054,36436,12777,23659,4664642,2417247,2247395,10887,6498,4389,368327,201765,166562,2772093,1474510,1297583,1512946,734204,778742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,270,119
C3311,00,00,0000,INDIA,Urban,14,6211607,3228376,2983231,4851746,2567662,2284084,34773,12041,22732,4816973,2555621,2261352,12931,7611,5320,228956,127673,101283,1631411,912413,718998,2943261,1507636,1435625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,288,126
C3311,00,00,0000,INDIA,Urban,15,6198351,3305702,2892649,4368524,2358143,2010381,29292,10252,19040,4339232,2347891,1991341,13067,7806,5261,127663,73263,54400,774240,450272,323968,2205986,1213910,992076,1217825,602334,615491,0,0,0,0,0,0,0,0,0,0,0,0,451,306,145
C3311,00,00,0000,INDIA,Urban,16,6297617,3294608,3003009,4028513,2138276,1890237,26017,8775,17242,4002496,2129501,1872995,15202,9071,6131,90835,50433,40402,397921,225813,172108,1318016,750412,567604,2179981,1093405,1086576,0,0,0,0,0,0,0,0,0,0,0,0,541,367,174
C3311,00,00,0000,INDIA,Urban,17,5009567,2691683,2317884,3017867,1643249,1374618,16416,5472,10944,3001451,1637777,1363674,13418,8407,5011,53619,29805,23814,171559,98277,73282,557960,336929,221031,2204223,1163890,1040333,0,0,0,0,0,0,0,0,0,0,0,0,672,469,203
C3311,00,00,0000,INDIA,Urban,18,8054852,4435032,3619820,3626385,2055248,1571137,23055,8274,14781,3603330,2046974,1556356,22554,14386,8168,69423,40003,29420,162510,95520,66990,459546,293243,166303,1110824,682534,428290,1712571,873059,839512,7393,4824,2569,57417,42638,14779,0,0,0,1092,767,325
C3311,00,00,0000,INDIA,Urban,19,4593680,2464548,2129132,2038795,1145956,892839,12020,4311,7709,2026775,1141645,885130,15424,9832,5592,42944,24569,18375,68347,39192,29155,148576,94109,54467,382650,245722,136928,1309730,685106,624624,6115,4057,2058,52103,38416,13687,0,0,0,886,642,244
C3311,00,00,0000,INDIA,Urban,20-24,28365228,15193668,13171560,6102465,3759774,2342691,44185,16542,27643,6058280,3743232,2315048,54499,35499,19000,83954,50791,33163,157256,90757,66499,268190,175079,93111,673433,456212,217221,2734706,1645495,1089211,20316,14996,5320,171042,134566,36476,1891399,1137333,754066,3485,2504,981
C3311,00,00,0000,INDIA,Urban,25-29,25737253,13180373,12556880,773971,549867,224104,6677,2366,4311,767294,547501,219793,10872,6636,4236,2969,1744,1225,3892,2363,1529,4567,2941,1626,34154,23431,10723,147618,104938,42680,3403,2716,687,23815,20226,3589,535344,381991,153353,660,515,145
C3311,00,00,0000,INDIA,Urban,30-34,22445165,11673137,10772028,182124,119712,62412,6050,2094,3956,176074,117618,58456,5995,2821,3174,1942,896,1046,2661,1466,1195,2576,1620,956,13025,8308,4717,31269,20356,10913,865,710,155,5780,4763,1017,111824,76576,35248,137,102,35
C3311,00,00,0000,INDIA,Urban,35-59,71734880,38508777,33226103,259004,167407,91597,19028,6976,12052,239976,160431,79545,13280,6181,7099,5468,2825,2643,8021,4834,3187,6624,4403,2221,27729,18138,9591,37126,24054,13072,1159,935,224,7257,5669,1588,133121,93266,39855,191,126,65
